frame_ts,led_index,blob_idx,cx_px,cy_px,area_px2,circularity,raw_cx_px,raw_cy_px
1764212255.1233711,1,0,610,302,866,0.87,610,295
1764212255.2152562,2,-1,,,,,,
1764212255.3031397,3,-1,,,,,,
1764212255.3912532,4,-1,,,,,,
1764212255.4824562,0,-1,,,,,,
1764212255.573475,1,-1,,,,,,
1764212255.6620743,2,-1,,,,,,
1764212255.7524831,3,-1,,,,,,
1764212255.8419256,4,-1,,,,,,
1764212255.932126,0,-1,,,,,,
1764212256.0242121,1,-1,,,,,,
1764212256.1123252,2,-1,,,,,,
1764212256.2031746,3,-1,,,,,,
1764212256.2933698,4,-1,,,,,,
1764212256.3848243,0,-1,,,,,,
1764212256.5193443,1,0,331,283,760,0.7,331,276
1764212256.6075888,2,0,258,299,456,0.82,258,292
1764212256.6982996,3,-1,,,,,,
1764212256.7860289,4,-1,,,,,,
1764212256.8816319,0,-1,,,,,,
1764212256.9693406,1,-1,,,,,,
1764212257.0586736,2,-1,,,,,,
1764212257.1472487,3,-1,,,,,,
1764212257.2392256,4,-1,,,,,,
1764212257.3260708,0,-1,,,,,,
1764212257.416298,1,-1,,,,,,
1764212257.5103517,2,-1,,,,,,
1764212257.5976136,3,-1,,,,,,
1764212257.6879985,4,-1,,,,,,
1764212257.7747025,0,-1,,,,,,
1764212257.8656127,1,-1,,,,,,
1764212257.9554133,2,-1,,,,,,
1764212258.0488179,3,-1,,,,,,
1764212258.144092,4,-1,,,,,,
1764212258.2244163,0,-1,,,,,,
1764212258.3204114,1,-1,,,,,,
1764212258.4081879,2,-1,,,,,,
1764212258.4966166,3,-1,,,,,,
1764212258.5902958,4,-1,,,,,,
1764212258.6732235,0,-1,,,,,,
1764212258.7687042,1,-1,,,,,,
1764212258.8602233,2,-1,,,,,,
1764212258.950996,3,-1,,,,,,
1764212259.0333192,4,-1,,,,,,
1764212259.1244242,0,-1,,,,,,
1764212259.2170794,1,-1,,,,,,
1764212259.305207,2,-1,,,,,,
1764212259.3986723,3,-1,,,,,,
1764212259.4865277,4,-1,,,,,,
1764212259.5766425,0,-1,,,,,,
1764212259.6662405,1,-1,,,,,,
1764212259.7600992,2,-1,,,,,,
1764212259.8436508,3,-1,,,,,,
1764212259.9340441,4,-1,,,,,,
1764212260.024103,0,-1,,,,,,
1764212260.1165106,1,-1,,,,,,
1764212260.2100961,2,-1,,,,,,
1764212260.2996795,3,-1,,,,,,
1764212260.3893278,4,-1,,,,,,
1764212260.4786458,0,-1,,,,,,
1764212260.5706983,1,-1,,,,,,
1764212260.6534014,2,-1,,,,,,
1764212260.7461472,3,-1,,,,,,
1764212260.835695,4,-1,,,,,,
1764212260.9245288,0,-1,,,,,,
1764212261.0208077,1,-1,,,,,,
1764212261.1085103,2,-1,,,,,,
1764212261.1980746,3,-1,,,,,,
1764212261.4289355,4,-1,,,,,,
1764212261.5141902,0,-1,,,,,,
1764212261.6024182,1,-1,,,,,,
1764212261.688722,2,-1,,,,,,
1764212261.8093512,3,-1,,,,,,
1764212261.869534,4,-1,,,,,,
1764212261.9589527,0,-1,,,,,,
1764212262.054336,1,-1,,,,,,
1764212262.1413305,2,0,223,403,418,0.77,223,396
1764212262.2501547,3,-1,,,,,,
1764212262.3236017,4,-1,,,,,,
1764212262.411446,0,-1,,,,,,
1764212262.499029,1,-1,,,,,,
1764212262.5904777,2,-1,,,,,,
1764212262.7009406,3,-1,,,,,,
1764212262.771245,4,-1,,,,,,
1764212262.8619838,0,-1,,,,,,
1764212262.9497771,1,-1,,,,,,
1764212263.040913,2,-1,,,,,,
1764212263.15337,3,-1,,,,,,
1764212263.222293,4,-1,,,,,,
1764212263.3089724,0,-1,,,,,,
1764212263.3991065,1,-1,,,,,,
1764212263.4905581,2,-1,,,,,,
1764212263.5998142,3,-1,,,,,,
1764212263.6683257,4,-1,,,,,,
1764212263.7595494,0,-1,,,,,,
1764212263.8503199,1,-1,,,,,,
1764212263.9419904,2,-1,,,,,,
1764212264.0480678,3,-1,,,,,,
1764212264.1252625,4,-1,,,,,,
1764212264.2114472,0,-1,,,,,,
1764212264.301497,1,-1,,,,,,
1764212264.3893375,2,-1,,,,,,
1764212264.4981644,3,-1,,,,,,
1764212264.569037,4,-1,,,,,,
1764212264.6596632,0,-1,,,,,,
1764212264.750161,1,-1,,,,,,
1764212264.8386853,2,-1,,,,,,
1764212264.9284573,3,-1,,,,,,
1764212265.0219798,4,-1,,,,,,
1764212265.1115196,0,-1,,,,,,
1764212265.2002528,1,-1,,,,,,
1764212265.290252,2,-1,,,,,,
1764212265.3792183,3,-1,,,,,,
1764212265.4679608,4,-1,,,,,,
1764212265.5589044,0,-1,,,,,,
1764212265.648307,1,-1,,,,,,
1764212265.7399392,2,-1,,,,,,
1764212265.8289135,3,-1,,,,,,
1764212265.9203756,4,-1,,,,,,
1764212266.0084143,0,-1,,,,,,
1764212266.0995085,1,-1,,,,,,
1764212266.1896524,2,-1,,,,,,
1764212266.282944,3,-1,,,,,,
1764212266.3693745,4,-1,,,,,,
1764212266.5100446,0,-1,,,,,,
1764212266.6005359,1,-1,,,,,,
1764212266.688138,2,-1,,,,,,
1764212266.7790763,3,-1,,,,,,
1764212266.8699574,4,-1,,,,,,
1764212266.9585054,0,-1,,,,,,
1764212267.0502932,1,-1,,,,,,
1764212267.1393745,2,-1,,,,,,
1764212267.2273245,3,-1,,,,,,
1764212267.3204906,4,-1,,,,,,
1764212267.4074168,0,-1,,,,,,
1764212267.4984362,1,-1,,,,,,
1764212267.589023,2,-1,,,,,,
1764212267.6789305,3,-1,,,,,,
1764212267.7683856,4,-1,,,,,,
1764212267.8582335,0,-1,,,,,,
1764212267.949935,1,-1,,,,,,
1764212268.0380807,2,-1,,,,,,
1764212268.1279678,3,-1,,,,,,
1764212268.2187977,4,-1,,,,,,
1764212268.3131113,0,-1,,,,,,
1764212268.4002123,1,-1,,,,,,
